timestamp          , sensor_nome                 , sensor_tipo                     , sensor_classe              , sistema_nome    , sistema_classe                , valor_leitura, unidade
2025-01-01 00:00:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 0.0          , W/m²
2025-01-01 00:05:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 0.0          , W/m²
2025-01-01 00:10:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 0.0          , W/m²
2025-01-01 00:15:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 0.0          , W/m²
2025-01-01 00:20:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 0.0          , W/m²
2025-01-01 00:25:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 0.0          , W/m²
2025-01-01 00:30:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 0.0          , W/m²
2025-01-01 00:35:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 0.0          , W/m²
2025-01-01 00:40:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 0.0          , W/m²
2025-01-01 00:45:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 0.0          , W/m²
2025-01-01 00:50:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 0.0          , W/m²
2025-01-01 00:55:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 0.0          , W/m²
2025-01-01 01:00:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 49.55        , W/m²
2025-01-01 01:05:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 15.31        , W/m²
2025-01-01 01:10:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 98.9         , W/m²
2025-01-01 01:15:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 18.59        , W/m²
2025-01-01 01:20:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 90.99        , W/m²
2025-01-01 01:25:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 1.2          , W/m²
2025-01-01 01:30:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 7.35         , W/m²
2025-01-01 01:35:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 49.17        , W/m²
2025-01-01 01:40:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 70.68        , W/m²
2025-01-01 01:45:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 23.2         , W/m²
2025-01-01 01:50:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 75.52        , W/m²
2025-01-01 01:55:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 35.41        , W/m²
2025-01-01 02:00:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 151.46       , W/m²
2025-01-01 02:05:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 33.28        , W/m²
2025-01-01 02:10:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 156.48       , W/m²
2025-01-01 02:15:00, Irradiacao_Sensor           , Sensor de Irradiação Solar      , SensorIrradiacao           , Solar Farm 1    , SistemaGeracaoSolar           , 24.92        , W/m²
